,TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPercent,PaymentType
0,1,5/4/2025,1034,2059,402,0,2048.2,15.19,Mobile Payment
1,2,5/4/2025,1066,2048,403,1,321.87,5.27,Gift Card
2,3,5/4/2025,1116,2041,403,3,3216.84,29.92,Credit Card
3,4,5/4/2025,1071,2096,404,2,1613.23,44.47,Cash
4,5,5/4/2025,1020,2060,401,0,408.38,10.75,Cash
5,6,5/4/2025,1089,2028,401,0,1275.88,35.8,Gift Card
6,7,5/4/2025,1193,2003,402,1,346.66,47.66,Gift Card
7,8,5/4/2025,1005,2079,402,1,855.49,3.99,Credit Card
8,9,5/4/2025,1032,2060,401,1,735.08,37.82,Credit Card
9,10,5/4/2025,1119,2089,403,2,661.63,43.26,Cash
10,11,5/4/2025,1042,2077,401,,505.65,25.83,Cash
11,12,5/4/2025,1079,2013,401,2,0,38.36,Mobile Payment
12,13,5/4/2025,1147,2086,404,3,4470.5,29.66,Cash
13,14,5/4/2025,1183,2025,401,1,503.32,10.55,Gift Card
14,15,5/4/2025,1026,2089,403,0,413.52,44.68,Gift Card
15,16,5/4/2025,1144,2005,403,3,1715.12,42.29,Mobile Payment
16,17,5/4/2025,1169,2047,401,2,535.97,29.16,Gift Card
17,18,5/4/2025,1003,2053,404,0,3660.9,2.41,Cash
18,19,5/4/2025,1110,2046,404,1,30.09,0.23,Mobile Payment
19,20,5/4/2025,1111,2022,403,3,671.18,22.95,Gift Card
20,21,5/4/2025,1119,2055,403,2,?,18.16,Mobile Payment
21,22,5/4/2025,1062,2011,403,3,1229.22,25,Credit Card
22,23,5/4/2025,1062,2096,404,3,672.18,46.85,Credit Card
23,24,5/4/2025,1086,2003,404,2,924.43,5.87,Gift Card
24,25,5/4/2025,1046,2062,402,2,1981.95,6.56,Mobile Payment
25,26,5/4/2025,1066,2043,403,2,698.76,30.2,Cash
26,27,5/4/2025,1142,2001,402,0,1237.05,44.79,Mobile Payment
27,28,5/4/2025,1061,2092,404,3,482.21,35.74,Mobile Payment
28,29,5/4/2025,1142,2097,402,3,4210.5,30.9,Cash
29,30,5/4/2025,1165,2091,404,3,4528.95,33.27,Cash
30,31,2023-13-01,1004,2011,403,1,737.53,14.53,Mobile Payment
31,32,5/4/2025,1103,2088,402,2,0,23.24,Mobile Payment
32,33,5/4/2025,1169,2074,403,3,0,41.96,Mobile Payment
33,34,5/4/2025,1141,2067,403,3,872.85,14.54,Mobile Payment
34,35,5/4/2025,1190,2070,403,2,54.69,2.66,Cash
35,36,5/4/2025,1179,2058,403,2,1066.8,32.42,Gift Card
36,37,5/4/2025,1064,2029,401,1,12.16,42.98,Mobile Payment
37,38,5/4/2025,1080,2015,402,1,3037.36,42.99,Cash
38,39,5/4/2025,1055,2094,404,2,1578.72,48.63,Cash
39,40,5/4/2025,1185,2075,403,0,0,24.82,Gift Card
40,41,5/4/2025,9999,2037,402,2,288.11,42.32,Mobile Payment
41,42,5/4/2025,1045,2038,401,1,1667.72,47.43,Credit Card
42,43,5/4/2025,1070,2005,401,2,686.05,17.46,Mobile Payment
43,44,5/4/2025,1178,2016,404,0,0,45.27,Mobile Payment
44,45,5/4/2025,1003,2073,403,3,1498.29,28.49,Gift Card
45,46,5/4/2025,1122,2056,403,1,944.5,23.63,Credit Card
46,47,5/4/2025,1013,2032,404,0,2836.8,46.92,Cash
47,48,5/4/2025,1016,2051,404,0,117.32,42.53,Credit Card
